Removed Pin From Net: NetName=GND Pin=J5-2
Removed Pin From Net: NetName=5V_PI Pin=U-2
Change Component Comment : Designator=C8 Old Comment=10uF 50V New Comment=0.1uF 50V
Change Component Comment : Designator=C5 Old Comment=10uF 50V New Comment=22uF
Change Component Comment : Designator=C6 Old Comment=10uF 50V New Comment=22uF
Change Component Comment : Designator=C7 Old Comment=10uF 50V New Comment=22uF
Change Component Comment : Designator=L1 Old Comment=PA4342.332NLT New Comment=PA4342.682NLT
Change Component Comment : Designator=D3 Old Comment=SML-LXT0805IW-TR New Comment=SML-LXT0805GW-TR
Change Component Comment : Designator=Q3 Old Comment=TN2130K1-G New Comment=T2N7002BK,LM
Change Component Comment : Designator=Q4 Old Comment=TN2130K1-G New Comment=T2N7002BK,LM
Change Component Comment : Designator=Q5 Old Comment=TN2130K1-G New Comment=T2N7002BK,LM
Change Component Comment : Designator=Q6 Old Comment=TN2130K1-G New Comment=T2N7002BK,LM
Change Component Comment : Designator=U1 Old Comment=TPS62933ODRLR New Comment=TPS62933DRLR
Change Component Designator: OldDesignator=U NewDesignator=U5
Change component parameters: Designator = "D3" ("D3"); Footprint = "LEDC2012X120N"; UniqueID = "\TRYBFFTN\XTZTTQFF" ("\TRYBFFTN\XTZTTQFF")
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/SML-LXT0805GW-TR/Lumex+Opto%252FComponents+Inc./view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "Lumex Opto/Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "SML-LXT0805GW-TR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "0805 Lumex"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/SML-LXT0805GW-TR/Lumex+Opto%252FComponents+Inc./view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "SOT5X3-8_DRL_TEX"; UniqueID = "\TRYBFFTN\NNSPCQXX" ("\TRYBFFTN\NNSPCQXX")
Change component parameters (AddParameter): Name = "Mfr_Name"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Type"; VariantName = "[No Variations]"
