Comment,Description,Designator,Footprint,LibRef,Quantity
Breakout Pin 0603,0603 breakout pad,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",BreakoutPin 0603,Breakout Pin 0603,24
0.1uF 50V,Default Symbol for Capacitors,"C1, C4, C8, C9",0805,CAP 10uF 50V,4
10uF 50V,Default Symbol for Capacitors,"C2, C3",0805,CAP 10uF 50V,2
22uF,CAP CER 22UF 16V X5R 0805,"C5, C6, C7, C26",0805,CAP 22uF 16V,4
33nF 50V,Default Symbol for Capacitors,C10,0805,CAP 33nF 50V,1
2.2uF,CAP CER 2.2UF 35V X7R 0603/0805,"C11, C12",0805,CAP 2.2uF 35V,2
0.10uF,Default Symbol for Capacitors,"C13, C14, C15, C24, C25",0805,CAP 0.1uF 50V,5
4.7uF,CAP CER 4.7UF 35V X7R 0603/0805,C16,0805,CAP 4.7uF 35V,1
1.0uF,CAP CER 1.0UF 16V X5R 0603/0805,"C17, C18, C19, C20, C21, C22, C23",0805,CAP 1.0uF 16V,7
SMAZ12-13-F,Zener Diode 12 V 1 W ฑ5% Surface Mount SMA,D1,SMA_DIO-L,DIODE ZENER 12V 1W,1
SML-LXT0805IW-TR,LED;Red;11mcd;0.061In.Dia.;SMD;100mA;2V Vf;635nm;140deg;SMD;White Diffused;5V Vr | Lumex SML-LXT0805IW-TR,"D2, D6, D7, D8, D9",LEDC2012X120N,SML-LXT0805IW-TR,5
SML-LXT0805GW-TR,"Green LED, 565 nm 0805Diffused, Rectangle Lens SMD package | Lumex SML-LXT0805GW-TR",D3,LEDC2012X120N,SML-LXT0805GW-TR,1
SM5817PL-TP,Diode Schottky 20V 1A Surface Mount SOD-123FL,"D4, D5",SOD-123,DIODE SCHOTTKY 20V 1A,2
Fuse 10A 1206,FUSE 10A 32V AC 63V DC 1206,F1,1206,FUSE 10A 63V SLOW,1
Test Point - 5019,"PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type","GND1, PGND1",TP380X203,Test Point - 5019,2
S5B-PH-K-S(LF)(SN),"Connector Header Through Hole, Right Angle 5 position 0.079 (2.00mm)","J1, J2, J4, J5, J6, J7, J8, J9",JST_S5B-PH-K-S(LF)(SN),S5B-PH-K-S(LF)(SN),8
CN HDR 40POS,40 Position Header Connector,J3,CN HDR 40POS 0.1 TH,CN HDR 40POS,1
S2B-PH-K-S(LF)(SN),"Connector Header Through Hole, Right Angle 2 position","J10, J11, J12",JST_S2B-PH-K-S(LF)(SN),S2B-PH-K-S(LF)(SN),3
61300411121,Connector Header Through Hole 4 position 0.100 (2.54mm),J13,WURTH_61300411121,61300411121,1
PA4342.682NLT,FIXED IND 6.8UH 8.5A 23.3MOHM SM,L1,IND_PA4342.332NLT,PA4342.332NLT,1
XT60,XT60 CONNECTORS FEMALE PAIR,P1,Amass_XT60PW-M,XT60 Connector,1
IPD85P04P4-07,P-Channel 40 V 85A (Tc) 88W (Tc) Surface Mount PG-TO252-3-313,"Q1, Q2",DPAK (TO-252),MOSFET IPD85P04P4-07,2
"T2N7002BK,LM",No Description Available,"Q3, Q4, Q5, Q6",SOT23_TOS,"T2N7002BK,LM",4
100k,Default Resistor Symbol,"R1, R2",0805,RES 100k 1/8W - 1%,2
0,Default Resistor Symbol,"R3, R4, R5, R25",0805,RES 0 JUMPER 0603,4
53.6k,Default Resistor Symbol,R6,0805,RES 56.2k 1/10W,1
10.2k,Default Resistor Symbol,R7,0805,RES 10.2k 1/8W,1
47k,RES SMD 47K OHM 1% 1/8W 0603,R8,0805,RES 47k 1/8W - 1%,1
150,Default Resistor Symbol,"R9, R14, R16, R18, R20",0805,RES 150.0 1/8W,5
1k,Default Resistor Symbol,"R10, R13, R15",0805,"RES 1.1k 1/8W, RES 1k 1/8W",3
10k,"RES SMD 10K OHM 1% 1/8W 0603, RES SMD 10K OHM 5% 1/8W 0603, Default Resistor Symbol","R11, R12, R17, R23, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38",0805,"RES 10k 1/8W - 1%, RES 10k 1/8W - 5%",17
YC248-JR-070RL,No Description Available,"R19, R24",RES_YC248_4X1P6_YAG-M,YC248-JR-070RL,2
4.7k,Default Resistor Symbol,"R21, R22",0805,RES 4.7k 1/8W - 1%,2
SW SLIDE SMALL,"Slide Switch SPDT Surface Mount, Right Angle",S1,SW SLIDE SMALL,SW SLIDE SMALL,1
GT-TC029B-H025-L1N,"JLC Supplied: 50mA 3.9mm 100M? 100,000 Times 12V 250gf 2.9mm 2.5mm Round Button","S2, S3",SW_EVP-AWCD4A,GT-TC029B-H025-L1N,2
TPS62933DRLR,No Description Available,U1,SOT_33DRLR_TEX,XTPS62933DRLR,1
NE555DR,,U2,SOIC127P599X175-8N,NE555DR,1
A4988_STEPPER_MOTOR_DRIVER_CARRIER,Stepper motor controler; IC: A4988; 1A; Uin mot: 8รท35V,U3,MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER,A4988_STEPPER_MOTOR_DRIVER_CARRIER,1
ESP32-PICO-D4,RX TXRX MOD WIFI SURFACE MOUNT,U4,PQFN50P700X700X104-49N - BigPads,ESP32-PICO-D4,1
SN74LVC4245APWR,24-TSSOP -40 ~ 85,U5,SOP65P640X120-24N,SN74LVC4245APWR,1
