Altium Designer Pick and Place Locations
C:\Users\kenny\OneDrive\Desktop\IGEN-430-Minesweeper\Project Outputs for minesweeper-mainboard\Pick Place\Pick Place for mainboard.csv

========================================================================================================================
File Design Information:

Date:       10/03/24
Time:       23:16
Revision:   d48f467c8ec37ae65964053103a8aa8fe1e1b2c5
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U2","NE555DR","TopLayer","SOIC127P599X175-8N","1965.000","2150.000","0",""
"R5","0","TopLayer","0805","1390.000","2625.000","90","Default Resistor Symbol"
"R7","10.2k","TopLayer","0805","1570.000","2685.000","180","Default Resistor Symbol"
"R6","53.6k","TopLayer","0805","1570.000","2595.000","0","Default Resistor Symbol"
"C10","33nF 50V","TopLayer","0805","1470.000","2625.000","90","Default Symbol for Capacitors"
"C1","0.1uF 50V","TopLayer","0805","1350.000","2495.000","0","Default Symbol for Capacitors"
"R42","10k","TopLayer","0805","2065.000","809.913","270","Default Resistor Symbol"
"R41","10k","TopLayer","0805","2065.000","564.913","270","Default Resistor Symbol"
"R40","10k","TopLayer","0805","1625.000","809.913","90","Default Resistor Symbol"
"R39","10k","TopLayer","0805","1625.000","564.913","270","Default Resistor Symbol"
"R20","150","TopLayer","0805","1755.000","809.913","270","Default Resistor Symbol"
"D9","SML-LXT0805IW-TR","TopLayer","LEDC2012X120N","1835.000","810.000","270","LED;Red;11mcd;0.061In.Dia.;SMD;100mA;2V Vf;635nm;140deg;SMD;White Diffused;5V Vr | Lumex SML-LXT0805IW-TR"
"D8","SML-LXT0805IW-TR","TopLayer","LEDC2012X120N","1835.000","565.000","270","LED;Red;11mcd;0.061In.Dia.;SMD;100mA;2V Vf;635nm;140deg;SMD;White Diffused;5V Vr | Lumex SML-LXT0805IW-TR"
"D7","SML-LXT0805IW-TR","TopLayer","LEDC2012X120N","1395.000","810.000","270","LED;Red;11mcd;0.061In.Dia.;SMD;100mA;2V Vf;635nm;140deg;SMD;White Diffused;5V Vr | Lumex SML-LXT0805IW-TR"
"D6","SML-LXT0805IW-TR","TopLayer","LEDC2012X120N","1395.000","565.000","270","LED;Red;11mcd;0.061In.Dia.;SMD;100mA;2V Vf;635nm;140deg;SMD;White Diffused;5V Vr | Lumex SML-LXT0805IW-TR"
"GND1","Test Point - 5019","TopLayer","TP380X203","875.000","2200.000","180","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"16","Breakout Pin 0603","TopLayer","BreakoutPin_0603","1395.000","1185.000","180","0603 breakout pad"
"S3","GT-TC029B-H025-L1N","TopLayer","SW_EVP-AWCD4A","1840.000","1390.000","90","JLC Supplied: 50mA 3.9mm 100MO 100,000 Times 12V 250gf 2.9mm 2.5mm Round Button"
"S2","GT-TC029B-H025-L1N","TopLayer","SW_EVP-AWCD4A","1840.000","1715.000","90","JLC Supplied: 50mA 3.9mm 100MO 100,000 Times 12V 250gf 2.9mm 2.5mm Round Button"
"J13","61300411121","TopLayer","WURTH_61300411121","765.000","1245.000","0","Connector Header Through Hole 4 position 0.100 (2.54mm)"
"C14","0.10uF","TopLayer","0603","1995.000","1700.000","90","Default Symbol for Capacitors"
"SDA1","I2C_SDA","TopLayer","TP","1265.000","1100.000","90",""
"SCL1","I2C_SCL","TopLayer","TP","1350.000","1050.000","90",""
"R38","10k","TopLayer","0805","360.000","2245.000","270","Default Resistor Symbol"
"R37","10k","TopLayer","0805","2175.000","2650.000","90","Default Resistor Symbol"
"R36","10k","TopLayer","0805","360.000","1690.000","270","Default Resistor Symbol"
"R35","10k","TopLayer","0805","2175.000","1900.000","90","Default Resistor Symbol"
"R34","10k","TopLayer","0805","360.000","995.000","270","Default Resistor Symbol"
"R33","10k","TopLayer","0805","2175.000","1355.000","90","Default Resistor Symbol"
"R32","10k","TopLayer","0805","360.000","2440.000","90","Default Resistor Symbol"
"R31","10k","TopLayer","0805","2175.000","2487.500","90","Default Resistor Symbol"
"R30","10k","TopLayer","0805","360.000","1904.462","90","Default Resistor Symbol"
"R29","10k","TopLayer","0805","2175.000","1700.000","270","Default Resistor Symbol"
"R28","10k","TopLayer","0805","360.000","1369.761","90","Default Resistor Symbol"
"R27","10k","TopLayer","0805","2175.000","1135.000","270","Default Resistor Symbol"
"R26","10k","TopLayer","0805","1530.000","2165.000","270","Default Resistor Symbol"
"PGND1","Test Point - 5019","TopLayer","TP380X203","1215.000","2915.000","90","PC Test Point, Miniature Phosphor Bronze, Silver Plating Surface Mount Mounting Type"
"C26","22uF","TopLayer","0805","575.000","2900.000","270","CAP CER 22UF 16V X5R 0805"
